No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
48   1:18:37.563    23:51:59.450   23:52:01.971   2.521      2.521      Paused by player, Unpause by player
49   1:18:38.163    23:52:02.559   23:52:06.578   4.019      4.019      Paused by player, Unpause by player
50   1:18:38.963    23:52:07.346   23:52:09.944   2.598      2.598      Paused by player, Unpause by player
51   1:18:39.613    23:52:10.567   23:52:12.958   2.391      2.391      Paused by player, Unpause by player
52   1:18:40.163    23:52:13.486   23:52:16.993   3.507      3.507      Paused by player, Unpause by player
53   1:18:55.563    23:52:32.366   23:52:35.110   2.744      2.744      Paused by player, Unpause by player
54   1:18:56.463    23:52:35.989   23:52:36.509   0.520      0.520      Paused by player, Unpause by player
55   1:18:56.863    23:52:36.869   23:52:40.346   3.477      3.477      Paused by player, Unpause by player
1    1:22:31.213    23:56:14.681   23:56:32.835   18.154                Paused by leave the world, Unpause by rendered
2    1:27:35.112    24:01:36.725   24:01:38.582   1.857      1.857      Paused by player, Unpause by player
3    1:27:52.112    24:01:55.567   24:02:01.061   5.494      5.494      Paused by player, Unpause by player
4    1:28:02.512    24:02:11.456   24:02:13.323   1.867      1.867      Paused by player, Unpause by player
5    1:28:04.862    24:02:15.651   24:02:20.857   5.206      5.206      Paused by player, Unpause by player
6    1:28:16.762    24:02:32.726   24:02:36.093   3.367      3.367      Paused by player, Unpause by player
7    1:28:19.562    24:02:38.849   24:02:44.536   5.687      5.687      Paused by player, Unpause by player
8    1:28:23.162    24:02:48.105   24:02:51.246   3.141      3.141      Paused by player, Unpause by player
9    1:28:24.962    24:02:53.025   24:02:56.741   3.716      3.716      Paused by player, Unpause by player
10   1:35:25.162    24:09:56.906   24:10:17.241   20.335     20.335     Paused by player, Unpause by player
11   1:38:03.112    24:12:55.165   24:12:58.073   2.908      2.908      Paused by player, Unpause by player
12   1:38:17.012    24:13:11.940   24:13:13.616   1.676      1.676      Paused by player, Unpause by player
13   1:38:17.512    24:13:14.107   24:13:14.893   0.786      0.786      Paused by player, Unpause by player
14   1:38:18.262    24:13:15.597   24:13:21.585   5.988      5.988      Paused by player, Unpause by player
15   1:39:17.812    24:14:21.104   24:14:22.307   1.203      1.203      Paused by player, Unpause by player
16   1:39:23.512    24:14:27.975   24:14:28.869   0.894      0.894      Paused by player, Unpause by player
17   1:39:28.612    24:14:33.939   24:14:36.430   2.491      2.491      Paused by player, Unpause by player
18   1:39:28.862    24:14:36.660   24:14:40.477   3.817      3.817      Paused by player, Unpause by player
19   1:39:30.962    24:14:42.538   24:14:43.633   1.095      1.095      Paused by player, Unpause by player
20   1:39:35.862    24:14:48.501   24:14:49.850   1.349      1.349      Paused by player, Unpause by player
21   1:39:36.512    24:14:50.465   24:14:51.786   1.321      1.321      Paused by player, Unpause by player
22   1:39:36.862    24:14:52.132   24:14:55.582   3.450      3.450      Paused by player, Unpause by player
23   1:39:37.062    24:14:55.798   24:14:56.018   0.220      0.220      Paused by player, Unpause by player
24   1:39:41.112    24:15:00.048   24:15:00.602   0.554      0.554      Paused by player, Unpause by player
25   1:39:41.612    24:15:01.076   24:15:01.832   0.756      0.756      Paused by player, Unpause by player
26   1:39:50.812    24:15:10.999   24:15:14.954   3.955      3.955      Paused by player, Unpause by player
27   1:40:05.562    24:15:29.672   24:15:31.063   1.391      1.391      Paused by player, Unpause by player
28   1:40:16.612    24:15:42.088   24:15:43.383   1.295      1.295      Paused by player, Unpause by player
29   1:40:17.062    24:15:43.814   24:15:52.214   8.400      8.400      Paused by player, Unpause by player
30   1:40:18.912    24:15:54.046   24:15:54.455   0.409      0.409      Paused by player, Unpause by player
31   1:40:19.562    24:15:55.082   24:15:56.071   0.989      0.989      Paused by player, Unpause by player
32   1:40:35.562    24:16:12.059   24:16:13.289   1.230      1.230      Paused by player, Unpause by player
33   1:40:49.712    24:16:27.400   24:16:28.087   0.687      0.687      Paused by player, Unpause by player
34   1:41:56.362    24:17:34.708   24:17:36.251   1.543      1.543      Paused by player, Unpause by player
35   1:41:56.912    24:17:36.780   24:17:38.670   1.890      1.890      Paused by player, Unpause by player
36   1:41:59.112    24:17:40.854   24:17:41.497   0.643      0.643      Paused by player, Unpause by player
37   1:42:00.112    24:17:42.489   24:18:07.188   24.699     24.699     Paused by player, Unpause by player
38   1:42:08.512    24:18:15.582   24:18:39.812   24.230     24.230     Paused by player, Unpause by player
39   1:42:32.212    24:19:03.477   24:19:04.913   1.436      1.436      Paused by player, Unpause by player
40   1:42:32.512    24:19:05.190   24:19:07.203   2.013      2.013      Paused by player, Unpause by player
41   1:42:34.262    24:19:08.916   24:19:10.694   1.778      1.778      Paused by player, Unpause by player
42   1:42:35.862    24:19:12.282   24:19:35.376   23.094     23.094     Paused by player, Unpause by player
43   1:43:02.562    24:20:02.066   24:20:02.635   0.569      0.569      Paused by player, Unpause by player
44   1:43:05.612    24:20:05.661   24:20:09.492   3.831      3.831      Paused by player, Unpause by player
45   1:43:34.212    24:20:38.084   24:20:38.975   0.891      0.891      Paused by player, Unpause by player
46   1:43:35.462    24:20:40.177   24:20:44.060   3.883      3.883      Paused by player, Unpause by player
47   1:43:36.162    24:20:44.731   24:20:46.564   1.833      1.833      Paused by player, Unpause by player
48   1:43:38.562    24:20:48.950   24:20:52.959   4.009      4.009      Paused by player, Unpause by player
49   1:43:47.862    24:21:02.238   24:21:03.657   1.419      1.419      Paused by player, Unpause by player
50   1:43:48.712    24:21:04.468   24:21:05.354   0.886      0.886      Paused by player, Unpause by player
51   1:43:49.212    24:21:05.827   24:21:07.889   2.062      2.062      Paused by player, Unpause by player
52   1:43:53.662    24:21:12.299   24:21:18.771   6.472      6.472      Paused by player, Unpause by player
53   1:43:54.462    24:21:19.560   24:21:21.632   2.072      2.072      Paused by player, Unpause by player
54   1:43:55.112    24:21:22.250   24:21:26.256   4.006      4.006      Paused by player, Unpause by player
55   1:44:25.262    24:21:56.372   24:22:13.482   17.110     17.110     Paused by player, Unpause by player
56   1:44:31.712    24:22:19.949   24:23:08.199   48.250     48.250     Paused by player, Unpause by player
57   1:44:41.762    24:23:18.202   24:23:24.258   6.056      6.056      Paused by player, Unpause by player
58   1:44:44.662    24:23:27.154   24:23:53.620   26.466     26.466     Paused by player, Unpause by player
59   1:44:45.612    24:23:54.552   24:24:02.204   7.652      7.652      Paused by player, Unpause by player
60   1:44:46.212    24:24:02.787   24:24:04.109   1.322      1.322      Paused by player, Unpause by player
61   1:44:47.262    24:24:05.120   24:24:13.922   8.802      8.802      Paused by player, Unpause by player
0    1:45:42.062    24:25:08.701   24:28:06.119   177.418               Paused by player, Unpause by rendered
1    1:45:53.758    24:28:17.845   24:28:33.039   15.194     15.194     Paused by player, Unpause by player
2    1:46:00.608    24:28:39.883   24:28:43.086   3.203      3.203      Paused by player, Unpause by player
3    1:46:17.258    24:28:59.749   24:29:12.038   12.289     12.289     Paused by player, Unpause by player
4    1:46:22.258    24:29:16.993   24:29:19.066   2.073      2.073      Paused by player, Unpause by player
5    1:46:22.808    24:29:19.598   24:29:22.121   2.523      2.523      Paused by player, Unpause by player
6    1:46:34.158    24:29:33.429   24:29:36.872   3.443      3.443      Paused by player, Unpause by player
